fauteuils;entrees_2021;entrees_2020;proprietaire;part des seances de films Art et Essai;latitude;longitude;num_auto;region_administrative;code_INSEE;population_de_la_commune;departement;num_UU;unite_urbaine;population_unite_urbaine;situation_geographique;ecrans;semaines_d_activite;seances;evolution_entrees;tranche_d_entrees;categorie_Art_et_Essai;label_Art_et_Essai;zone_de_la_commune;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;PdM_en_entrees_des_films_francais;PdM_en_entrees_des_films_americains;PdM_en_entrees_des_films_europeens;PdM_en_entrees_des_autres_films;films_Art_et_Essai;PdM_en_entrees_des_films_Art_et_Essai
245;3 070;4 130;COMMUNE DE BONNEUIL SUR MARNE;41,5;48.774577;2.486664;62121;ILE-DE-FRANCE;94011;18117;94;851;Paris;10909327;02-Petite Couronne;1;19;185;-25,7;De 2 à 5 000 entrées;NON;;B;50;45;0;54,7;28,5;16,8;0;18;25,8
154;23 607;22 897;COMMUNE DE BOULOGNE-BILLANCOURT;97,8;48.83591;2.239289;66835;ILE-DE-FRANCE;92012;122577;92;851;Paris;10909327;02-Petite Couronne;1;32;1 068;3,1;De 20 à 30 000 entrées;C;RDJPPR;B;120;85;75;54,6;9,2;20,7;15,4;81;97,9
1492;280 883;180 567;EUROPALACES NICE BOULOGNE;31,6;48.837649;2.239534;66923;ILE-DE-FRANCE;92012;122577;92;851;Paris;10909327;02-Petite Couronne;7;32;6 453;55,6;De 200 à 300 000 entrées;NON;;B;113;101;95;45,9;37,7;15,6;0,7;40;24,9
83;863;1 974;COMMUNE DU BOURGET;27,3;48.932361;2.424858;68114;ILE-DE-FRANCE;93013;16183;93;851;Paris;10909327;02-Petite Couronne;1;7;163;-56,3;Moins de 2000 entrées;NON;;B;30;28;0;49,6;37,1;13,3;0;7;15,2
177;383;235;LES GEMEAUX SCENE NATIONALE;33,3;48.778884;2.317531;68212;ILE-DE-FRANCE;92014;21120;92;851;Paris;10909327;02-Petite Couronne;1;9;13;63;Moins de 2000 entrées;NON;;B;13;6;0;59;20,3;20,8;0;2;40,6
797;39 463;29 093;ASSOCIATION DES CINEMAS INDEPENDANTS                            ;24,3;48.683571;2.535014;69641;ILE-DE-FRANCE;91097;7840;91;851;Paris;10909327;03-Grande couronne;5;32;4 172;35,6;De 30 à 40 000 entrées;C;;B;132;117;84;42,6;47;10;0,4;42;14,5
105;2 511;1 226;LEMOINE DENISE;40,1;48.415251;3.237856;71901;ILE-DE-FRANCE;77051;2294;77;77116;Bray-sur-Seine;3333;03-Grande couronne;1;29;187;104,8;De 2 à 5 000 entrées;E;;C;84;73;0;65,8;27;6,5;0,7;32;22,7
368;19 783;15 946;ASSOCIATION CINE 220;48;48.608596;2.303919;73423;ILE-DE-FRANCE;91103;27193;91;851;Paris;10909327;03-Grande couronne;2;32;1 546;24,1;De 10 à 20 000 entrées;C;RDJPPR;B;184;140;19;46,6;35,8;16,4;1,3;83;37,3
168;10 261;9 636;VILLE DE BRIE-COMTE-ROBERT                                      ;52,2;48.696652;2.607228;74662;ILE-DE-FRANCE;77053;18550;77;77306;Brie-Comte-Robert;18550;03-Grande couronne;1;31;576;6,5;De 10 à 20 000 entrées;E;RDJP;I;154;128;1;62,8;23,4;12,2;1,5;72;37,3
802;29 589;22 063;ASSOCIATION CENTRE CULTUREL COMMUNAL CACHAN;50,9;48.795796;2.335316;81101;ILE-DE-FRANCE;94016;31248;94;851;Paris;10909327;02-Petite Couronne;3;29;2 253;34,1;De 20 à 30 000 entrées;C;JP;B;171;138;57;54,5;33,4;11,3;0,8;89;41,6
319;3 757;4 110;COMMUNE DE LA CELLE SAINT CLOUD;57,1;48.847416;2.136047;91492;ILE-DE-FRANCE;78126;21237;78;851;Paris;10909327;03-Grande couronne;1;25;112;-8,6;De 2 à 5 000 entrées;NON;;B;108;81;0;74,8;14,8;7,7;2,7;47;50
2788;187 148;142 257;UGC CINE CITE;19,9;49.048453;2.010977;92329;ILE-DE-FRANCE;95127;66838;95;851;Paris;10909327;03-Grande couronne;14;32;13 295;31,6;De 150 à 200 000 entrées;NON;;B;197;161;161;26,3;56,4;15,4;1,8;49;10,1
168;2 804;2 270;CINE MONTEREAU POINT COM;50,3;48.398755;2.80515;96533;ILE-DE-FRANCE;77079;6433;77;77404;Champagne-sur-Seine;28623;03-Grande couronne;1;29;217;23,5;De 2 à 5 000 entrées;D;;C;77;59;0;59,6;21,9;17,7;0,8;32;44,7
944;64 401;45 798;STUDIO 66;11,6;48.814397;2.508133;97431;ILE-DE-FRANCE;94017;77381;94;851;Paris;10909327;02-Petite Couronne;5;32;4 887;40,6;De 50 à 80 000 entrées;C;JP;B;160;130;78;20,8;63,1;13;3,1;51;7,9
551;24 420;18 879;ASSOCIATION CHATENAY ACTION CULTURE;64,7;48.765842;2.259825;105652;ILE-DE-FRANCE;92019;34527;92;851;Paris;10909327;02-Petite Couronne;2;28;1 461;29,4;De 20 à 30 000 entrées;C;RDJPPR;B;135;103;51;49,9;30;19,3;0,8;69;47,1
459;28 945;24 968;ANIM ACTION;49,9;48.886917;2.156299;106262;ILE-DE-FRANCE;78146;30850;78;851;Paris;10909327;03-Grande couronne;2;30;1 266;15,9;De 20 à 30 000 entrées;NON;;B;158;124;31;58,6;23,7;16,3;1,4;71;38,3
643;6 365;6 937;REGIE CULTURELLE ATRIUM DE CHAVILLE;34;48.813094;2.192579;108192;ILE-DE-FRANCE;92022;21012;92;851;Paris;10909327;02-Petite Couronne;1;26;220;-8,2;De 5 à 10 000 entrées;NON;;B;100;80;0;54,9;25,4;17,5;2,2;31;30,2
645;36 307;22 477;STUDIO 43;21,5;48.877872;2.586341;108774;ILE-DE-FRANCE;77108;55441;77;851;Paris;10909327;03-Grande couronne;2;31;2 046;61,5;De 30 à 40 000 entrées;C;JP;B;141;106;24;32,8;53,3;11,4;2,5;47;14,3
3923;418 659;233 168;GAUMONT;8,2;48.880488;2.772675;110351;ILE-DE-FRANCE;77111;6020;77;851;Paris;10909327;03-Grande couronne;15;32;15 376;79,6;De 300 à 450 000 entrées;NON;;B;158;134;135;18;66,2;14,4;1,3;20;4,9
216;28 970;16 327;LE CINEMA DE CHESSY;13,2;48.856412;2.773682;110372;ILE-DE-FRANCE;77111;6020;77;851;Paris;10909327;03-Grande couronne;2;32;2 330;77,4;De 20 à 30 000 entrées;C;;B;131;104;29;14,8;72,5;11;1,7;30;9,5
405;8 303;5 823;CENTRE CULTUREL DE CHEVILLY LARUE;50;48.770432;2.350955;110761;ILE-DE-FRANCE;94021;19930;94;851;Paris;10909327;02-Petite Couronne;1;28;301;42,6;De 5 à 10 000 entrées;C;;B;93;73;3;53,8;22,9;22,5;0,8;37;42,1
409;24 560;17 622;ASSOCIATION FRANCOIS TRUFFAUT;68;48.703333;2.314917;111583;ILE-DE-FRANCE;91161;19992;91;851;Paris;10909327;03-Grande couronne;2;32;1 816;39,4;De 20 à 30 000 entrées;C;RDJPPR;B;261;171;14;53,1;25,4;18,1;3,4;125;42,2
181;13 833;13 046;CENTRE D'ACTION CULTURELLE THEATRE PAUL ELUARD CHOISY LE ROI;58;48.766383;2.414699;112014;ILE-DE-FRANCE;94022;46366;94;851;Paris;10909327;02-Petite Couronne;1;30;598;6;De 10 à 20 000 entrées;C;JP;B;104;77;4;61;21,6;17,1;0,3;44;48,8
176;9 894;1 386;COMMUNE DE CLAMART;76,6;48.802513;2.263801;113523;ILE-DE-FRANCE;92023;53429;92;851;Paris;10909327;02-Petite Couronne;1;26;534;613,9;De 5 à 10 000 entrées;C;RDJP;B;80;68;8;82,2;7,7;9,9;0,2;49;65,5
313;24 414;21 250;COMMUNE DE LES CLAYES SOUS BOIS;36,3;48.821274;1.987156;114032;ILE-DE-FRANCE;78165;17794;78;851;Paris;10909327;03-Grande couronne;2;33;1 308;14,9;De 20 à 30 000 entrées;C;JP;B;155;100;11;54,5;30,2;14,5;0,9;42;30,3
387;63 696;0;CINE CLAYE;5,6;48.947319;2.673824;114042;ILE-DE-FRANCE;77118;12400;77;77302;Claye-Souilly;12400;03-Grande couronne;3;27;2 094;#DIV/0!;De 50 à 80 000 entrées;NON;;I;59;59;30;21,1;67,6;11,3;0;7;3,3
322;642;849;MAISON DES JEUNES ET DE LA CULTURE DU THEATRE DE COLOMBES;0;48.923862;2.250041;117025;ILE-DE-FRANCE;92025;86633;92;851;Paris;10909327;02-Petite Couronne;1;9;15;-24,4;Moins de 2000 entrées;NON;;B;7;0;0;0;0;0;0;0;0
477;64 655;48 765;QUATRE CLUBS SARL;41,5;48.923159;2.255372;117051;ILE-DE-FRANCE;92025;86633;92;851;Paris;10909327;02-Petite Couronne;4;32;3 729;32,6;De 50 à 80 000 entrées;C;JPPR;B;142;107;89;42,3;44,8;11,7;1,2;57;28
236;5 536;4 737;SCENE NATIONALE DE SENART;42,5;48.659579;2.566711;117921;ILE-DE-FRANCE;77122;21967;77;851;Paris;10909327;03-Grande couronne;1;28;310;16,9;De 5 à 10 000 entrées;NON;;B;91;70;0;62;25,5;12,5;0;29;28,1
3105;472 752;329 801;PATHE CONFLANS                                                  ;15;49.004829;2.077668;119305;ILE-DE-FRANCE;78172;36068;78;851;Paris;10909327;03-Grande couronne;13;32;12 099;43,3;De 450 à 700 000 entrées;NON;;B;200;173;144;25,5;57,2;16,1;1,1;64;8,4
380;20 876;17 699;EDEN CASINO;31,9;48.603813;2.469302;120293;ILE-DE-FRANCE;91174;51245;91;851;Paris;10909327;03-Grande couronne;3;32;2 206;18;De 20 à 30 000 entrées;C;JPPR;B;191;149;59;34,4;51;13,5;1,1;76;17,3
307;2 708;5 226;COMMUNE DE CORMEILLES EN PARISIS;39,4;48.959824;2.189151;120963;ILE-DE-FRANCE;95176;24892;95;851;Paris;10909327;03-Grande couronne;1;21;91;-48,2;De 2 à 5 000 entrées;NON;;B;84;61;0;63,3;26,9;9,1;0,6;25;22,9
568;10 866;16 105;ZARATHUSHTRA                                                    ;7,7;48.809696;3.090876;123373;ILE-DE-FRANCE;77131;15000;77;77402;Coulommiers;27800;03-Grande couronne;4;30;820;-32,5;De 10 à 20 000 entrées;D;JP;C;46;31;15;38,2;45,4;15,7;0,7;4;6,7
360;2 724;1 544;ASSOCIATION ESPACE CARPEAUX;63,6;48.899883;2.259136;123905;ILE-DE-FRANCE;92026;82856;92;851;Paris;10909327;02-Petite Couronne;1;4;17;76,4;De 2 à 5 000 entrées;NON;;B;11;8;0;100;0;0;0;6;49,8
139;21 984;18 446;ASSOCIATION ESPACE CARPEAUX;60,5;48.901327;2.271867;123914;ILE-DE-FRANCE;92026;82856;92;851;Paris;10909327;02-Petite Couronne;1;32;968;19,2;De 20 à 30 000 entrées;C;;B;159;109;0;59,1;20;16,2;4,7;71;50,5
